geometry,ident,type,name,latitude_d,longitude,elevation,continent,iso_countr,iso_region,municipali,scheduled,gps_code,iata_code,status,objectid
POINT (-76.5008 0.505228),SKAS,medium_airport,Tres De Mayo Airport,0.505228,-76.5008,815,South America,CO,CO-PUT,Puerto Asís,yes,SKAS,PUU,,3001
POINT (-73.1848 7.1265),SKBG,medium_airport,Palonegro Airport,7.1265,-73.1848,3897,South America,CO,CO-SAN,Bucaramanga,yes,SKBG,BGA,,3002
POINT (-74.1469 4.70159),SKBO,large_airport,El Dorado International Airport,4.70159,-74.1469,8361,South America,CO,CO-CUN,Bogota,yes,SKBO,BOG,Restrictions,3003
POINT (-74.7808 10.8896),SKBQ,medium_airport,Ernesto Cortissoz International Airport,10.8896,-74.7808,98,South America,CO,CO-ATL,Barranquilla,yes,SKBQ,BAQ,Restrictions,3004
POINT (-77.3947 6.20292),SKBS,medium_airport,José Celestino Mutis Airport,6.20292,-77.3947,80,South America,CO,CO-CHO,Bahía Solano,yes,SKBS,BSC,,3005
POINT (-76.9898 3.81963),SKBU,medium_airport,Gerardo Tobar López Airport,3.81963,-76.9898,48,South America,CO,CO-VAC,Buenaventura,yes,SKBU,BUN,,3006
POINT (-72.5115 7.92757),SKCC,medium_airport,Camilo Daza International Airport,7.92757,-72.5115,1096,South America,CO,CO-NSA,Cúcuta,yes,SKCC,CUC,Restrictions,3007
POINT (-75.513 10.4424),SKCG,medium_airport,Rafael Nuñez International Airport,10.4424,-75.513,4,South America,CO,CO-BOL,Cartagena,yes,SKCG,CTG,Restrictions,3008
POINT (-76.3816 3.54322),SKCL,medium_airport,Alfonso Bonilla Aragon International Airport,3.54322,-76.3816,3162,South America,CO,CO-VAC,Cali,yes,SKCL,CLO,Restrictions,3009
POINT (-78.7492 1.81442),SKCO,medium_airport,La Florida Airport,1.81442,-78.7492,8,South America,CO,CO-NAR,Tumaco,yes,SKCO,TCO,,3010
POINT (-75.2856 9.33274),SKCZ,medium_airport,Las Brujas Airport,9.33274,-75.2856,528,South America,CO,CO-SUC,Corozal,yes,SKCZ,CZU,,3011
POINT (-73.8068 7.02433),SKEJ,medium_airport,Yariguíes Airport,7.02433,-73.8068,412,South America,CO,CO-SAN,Barrancabermeja,yes,SKEJ,EJA,,3012
POINT (-75.5644 1.58919),SKFL,medium_airport,Gustavo Artunduaga Paredes Airport,1.58919,-75.5644,803,South America,CO,CO-CAQ,Florencia,yes,SKFL,FLA,,3013
POINT (-75.9557 4.75818),SKGO,medium_airport,Santa Ana Airport,4.75818,-75.9557,2979,South America,CO,CO-VAC,Cartago,yes,SKGO,CRC,,3014
POINT (-77.8986 2.57013),SKGP,medium_airport,Juan Casiano Airport,2.57013,-77.8986,164,South America,CO,CO-CAU,Guapi,yes,SKGP,GPI,,3015
POINT (-76.98680115 -0.462886006),SECO,medium_airport,Francisco De Orellana Airport,-0.462886006,-76.98680115,834,South America,EC,EC-D,Coca,yes,SECO,OCC,,3016
POINT (-78.98439789 -2.8894701),SECU,medium_airport,Mariscal Lamar Airport,-2.8894701,-78.98439789,8306,South America,EC,EC-A,Cuenca,yes,SECU,CUE,,3017
POINT (-79.88359833 -2.15741992),SEGU,medium_airport,José Joaquín de Olmedo International Airport,-2.15741992,-79.88359833,19,South America,EC,EC-G,Guayaquil,yes,SEGU,GYE,,3018
POINT (-78.61579895 -0.906832993),SELT,large_airport,Cotopaxi International Airport,-0.906832993,-78.61579895,9205,South America,EC,EC-X,Latacunga,yes,SELT,LTX,,3019
POINT (-78.1207962 -2.299170017),SEMC,medium_airport,Coronel E Carvajal Airport,-2.299170017,-78.1207962,3452,South America,EC,EC-S,Macas,yes,SEMC,XMS,,3020
POINT (-80.67880249 -0.946078002),SEMT,medium_airport,Eloy Alfaro International Airport,-0.946078002,-80.67880249,48,South America,EC,EC-M,Manta,yes,SEMT,MEC,,3021
POINT (-78.3575 -0.129166667),SEQM,large_airport,Mariscal Sucre International Airport,-0.129166667,-78.3575,7841,South America,EC,EC-P,Quito,yes,SEQM,UIO,screening,3022
POINT (-77.70809937 0.809505999),SETU,medium_airport,Teniente Coronel Luis a Mantilla Airport,0.809505999,-77.70809937,9649,South America,EC,EC-C,Tulcán,yes,SETU,TUA,,3023
POINT (-79.996957 -3.441986),SERO,medium_airport,Santa Rosa International Airport,-3.441986,-79.996957,20,South America,EC,EC-O,Santa Rosa,yes,SERO,ETR,,3024
POINT (-58.44720078 -51.82279968),EGYP,medium_airport,Mount Pleasant Airport,-51.82279968,-58.44720078,244,South America,FK,FK-U-A,Mount Pleasant,yes,EGYP,MPN,,3025
POINT (-57.77759933 -51.68569946),SFAL,medium_airport,Port Stanley Airport,-51.68569946,-57.77759933,75,South America,FK,FK-U-A,Stanley,yes,SFAL,PSY,,3026
POINT (-52.36040115 4.819809914),SOCA,medium_airport,Cayenne-Rochambeau Airport,4.819809914,-52.36040115,26,South America,GF,GF-CY,Cayenne / Rochambeau,yes,SOCA,CAY,,3027
POINT (-59.49148178 5.172754765),PKSA,medium_airport,Kaieteur International Airport,5.172754765,-59.49148178,1520,South America,GY,GY-PT,Kaieteur Falls,yes,SYKA,KAI,,3028
POINT (-58.2541008 6.498549938),SYCJ,medium_airport,Cheddi Jagan International Airport,6.498549938,-58.2541008,95,South America,GY,GY-DE,Georgetown,yes,SYCJ,GEO,screening,3029
POINT (-58.10589981 6.806280136),SYGO,medium_airport,Ogle Airport,6.806280136,-58.10589981,10,South America,GY,GY-DE,Ogle,yes,SYGO,OGL,,3030
POINT (-59.78939819 3.372760057),SYLT,medium_airport,Lethem Airport,3.372760057,-59.78939819,351,South America,GY,GY-UT,Lethem,yes,SYLT,LTM,,3031
POINT (-74.57430267 -8.377940178),SPCL,medium_airport,Cap FAP David Abenzur Rengifo International Airport,-8.377940178,-74.57430267,513,South America,PE,PE-UCA,Pucallpa,yes,SPCL,PCL,,3032
POINT (-78.52380371 -9.149609566),SPEO,medium_airport,Teniente FAP Jaime A De Montreuil Morales Airport,-9.149609566,-78.52380371,69,South America,PE,PE-ANC,Chimbote,yes,SPEO,CHM,,3033
POINT (-79.82810211 -6.787479877),SPHI,medium_airport,Capitan FAP Jose A Quinones Gonzales International Airport,-6.787479877,-79.82810211,97,South America,PE,PE-LAM,Chiclayo,yes,SPHI,CIX,Restrictions,3034
POINT (-74.20439911 -13.15480042),SPHO,medium_airport,Coronel FAP Alfredo Mendivil Duarte Airport,-13.15480042,-74.20439911,8917,South America,PE,PE-AYA,Ayacucho,yes,SPHO,AYP,,3035
POINT (-77.114304 -12.0219),SPIM,large_airport,Jorge Chávez International Airport,-12.0219,-77.114304,113,South America,PE,PE-LIM,Lima,yes,SPJC,LIM,Restrictions,3036
POINT (-78.774002 -5.59248),SPJE,medium_airport,Shumba Airport,-5.59248,-78.774002,2477,South America,PE,PE-CAJ,Jaén,yes,SPJE,JAE,,3037
POINT (-75.4733963 -11.78310013),SPJJ,medium_airport,Francisco Carle Airport,-11.78310013,-75.4733963,11034,South America,PE,PE-JUN,Jauja,yes,SPJJ,JAU,,3038
POINT (-70.15820313 -15.46710014),SPJL,medium_airport,Inca Manco Capac International Airport,-15.46710014,-70.15820313,12552,South America,PE,PE-PUN,Juliaca,yes,SPJL,JUL,Restrictions,3039
POINT (-78.48940277 -7.139180183),SPJR,medium_airport,Mayor General FAP Armando Revoredo Iglesias Airport,-7.139180183,-78.48940277,8781,South America,PE,PE-CAJ,Cajamarca,yes,SPJR,CJA,,3040
POINT (-80.38140106 -3.55253005),SPME,medium_airport,Capitan FAP Pedro Canga Rodriguez Airport,-3.55253005,-80.38140106,115,South America,PE,PE-TUM,Tumbes,yes,SPME,TBP,,3041
POINT (-76.11820221 -5.893770218),SPMS,medium_airport,Moises Benzaquen Rengifo Airport,-5.893770218,-76.11820221,587,South America,PE,PE-LOR,Yurimaguas,yes,SPMS,YMS,,3042
POINT (-76.20480347 -9.878809929),SPNC,medium_airport,Alferez Fap David Figueroa Fernandini Airport,-9.878809929,-76.20480347,6070,South America,PE,PE-HUC,Huánuco,yes,SPNC,HUU,,3043
POINT (-73.30879974 -3.784739971),SPQT,medium_airport,Coronel FAP Francisco Secada Vignetta International Airport,-3.784739971,-73.30879974,306,South America,PE,PE-LOR,Iquitos,yes,SPQT,IQT,Restrictions,3044
POINT (-71.58309937 -16.34110069),SPQU,medium_airport,Rodríguez Ballón International Airport,-16.34110069,-71.58309937,8405,South America,PE,PE-ARE,Arequipa,yes,SPQU,AQP,Restrictions,3045
POINT (-79.1088028 -8.081410408),SPRU,medium_airport,Capitan FAP Carlos Martinez De Pinillos International Airport,-8.081410408,-79.1088028,106,South America,PE,PE-LAL,Trujillo,yes,SPRU,TRU,Restrictions,3046
POINT (-76.37319946 -6.508739948),SPST,medium_airport,Cadete FAP Guillermo Del Castillo Paredes Airport,-6.508739948,-76.37319946,869,South America,PE,PE-SAM,Tarapoto,yes,SPST,TPP,,3047
POINT (-70.27580261 -18.05330086),SPTN,medium_airport,Coronel FAP Carlos Ciriani Santa Rosa International Airport,-18.05330086,-70.27580261,1538,South America,PE,PE-TAC,Tacna,yes,SPTN,TCQ,Restrictions,3048
POINT (-69.22859955 -12.61359978),SPTU,medium_airport,Padre Aldamiz International Airport,-12.61359978,-69.22859955,659,South America,PE,PE-MDD,Puerto Maldonado,yes,SPTU,PEM,Restrictions,3049
POINT (-80.61640167 -5.205749989),SPUR,medium_airport,Capitán FAP Guillermo Concha Iberico International Airport,-5.205749989,-80.61640167,120,South America,PE,PE-PIU,Piura,yes,SPUR,PIU,Restrictions,3050
POINT (-81.25409698 -4.576640129),SPYL,medium_airport,Capitan Montes Airport,-4.576640129,-81.25409698,282,South America,PE,PE-PIU,Talara,yes,SPYL,TYL,,3051
POINT (-74.96150208 -14.85400009),SPZA,medium_airport,Maria Reiche Neuman Airport,-14.85400009,-74.96150208,1860,South America,PE,PE-ICA,Nazca,yes,SPZA,NZC,,3052
POINT (-71.938797 -13.53569984),SPZO,large_airport,Alejandro Velasco Astete International Airport,-13.53569984,-71.938797,10860,South America,PE,PE-CUS,Cusco,yes,SPZO,CUZ,Restrictions,3053
POINT (-57.52000046 -25.23999977),SGAS,medium_airport,Silvio Pettirossi International Airport,-25.23999977,-57.52000046,292,South America,PY,PY-11,Asunción,yes,SGAS,ASU,,3054
POINT (-54.842682 -25.454516),SGES,medium_airport,Guarani International Airport,-25.454516,-54.842682,846,South America,PY,PY-10,Ciudad del Este,yes,SGES,AGT,,3055
POINT (-55.18780136 5.452829838),SMJP,medium_airport,Johan Adolf Pengel International Airport,5.452829838,-55.18780136,59,South America,SR,SR-PR,Zandery,yes,SMJP,PBM,,3056
POINT (-56.03079987 -34.83840179),SUMU,large_airport,Carrasco International /General C L Berisso Airport,-34.83840179,-56.03079987,105,South America,UY,UY-MO,Montevideo,yes,SUMU,MVD,,3057
POINT (-69.23786926 9.553375244),SVAC,medium_airport,Oswaldo Guevara Mujica Airport,9.553375244,-69.23786926,640,South America,VE,VE-P,Acarigua,yes,SVAC,AGV,,3058
POINT (-64.68920135 10.10709953),SVBC,medium_airport,General Jose Antonio Anzoategui International Airport,10.10709953,-64.68920135,26,South America,VE,VE-B,Barcelona,yes,SVBC,BLA,,3059
POINT (-70.22080231 8.619569778),SVBI,medium_airport,Barinas Airport,8.619569778,-70.22080231,666,South America,VE,VE-E,Barinas,yes,SVBI,BNS,,3060
POINT (-69.35861969 10.04274654),SVBM,medium_airport,Barquisimeto International Airport,10.04274654,-69.35861969,2042,South America,VE,VE-K,Barquisimeto,yes,SVBM,BRM,,3061
POINT (-67.64942169 10.24997807),SVBS,medium_airport,Escuela Mariscal Sucre Airport,10.24997807,-67.64942169,1338,South America,VE,VE-D,Maracay,yes,SVBS,MYC,,3062
POINT (-62.85443115 6.231988907),SVCN,medium_airport,Canaima Airport,6.231988907,-62.85443115,1450,South America,VE,VE-F,Canaima,yes,SVCN,CAJ,,3063
POINT (-63.2616806 10.66001415),SVCP,medium_airport,General Francisco Bermúdez Airport,10.66001415,-63.2616806,33,South America,VE,VE-R,Carúpano,yes,SVCP,CUP,,3064
POINT (-69.68090057 11.4149437),SVCR,medium_airport,José Leonardo Chirinos Airport,11.4149437,-69.68090057,52,South America,VE,VE-I,Coro,yes,SVCR,CZE,,3065
POINT (-64.13047028 10.45033264),SVCU,medium_airport,Cumaná (Antonio José de Sucre) Airport,10.45033264,-64.13047028,14,South America,VE,VE-R,,yes,SVCU,CUM,,3066
POINT (-70.15149689 11.78077507),SVJC,medium_airport,Josefa Camejo International Airport,11.78077507,-70.15149689,75,South America,VE,VE-I,Paraguaná,yes,SVJC,LSP,,3067
POINT (-71.7278595 10.55820847),SVMC,medium_airport,La Chinita International Airport,10.55820847,-71.7278595,239,South America,VE,VE-V,Maracaibo,yes,SVMC,MAR,,3068
POINT (-71.16104126 8.58207798),SVMD,medium_airport,Alberto Carnevalli Airport,8.58207798,-71.16104126,5007,South America,VE,VE-L,Mérida,yes,SVMD,MRD,,3069
POINT (-63.96659851 10.91260338),SVMG,medium_airport,Del Caribe Santiago Mariño International Airport,10.91260338,-63.96659851,74,South America,VE,VE-O,Isla Margarita,yes,SVMG,PMV,,3070
POINT (-66.99058533 10.60311699),SVMI,medium_airport,Simón Bolívar International Airport,10.60311699,-66.99058533,235,South America,VE,VE-X,Caracas,yes,SVMI,CCS,,3071
POINT (-63.1473999 9.754529953),SVMT,medium_airport,Maturín Airport,9.754529953,-63.1473999,224,South America,VE,VE-N,,yes,SVMT,MUN,,3072
POINT (-67.60610199 5.619989872),SVPA,medium_airport,Cacique Aramare Airport,5.619989872,-67.60610199,245,South America,VE,VE-Z,Puerto Ayacucho,yes,SVPA,PYH,,3073
POINT (-62.76039886 8.28853035),SVPR,medium_airport,General Manuel Carlos Piar International Airport,8.28853035,-62.76039886,472,South America,VE,VE-F,Puerto Ordaz-Ciudad Guayana,yes,SVPR,PZO,,3074
POINT (-72.43969727 7.840829849),SVSA,medium_airport,San Antonio Del Tachira Airport,7.840829849,-72.43969727,1312,South America,VE,VE-S,,yes,SVSA,SVZ,,3075
POINT (-72.03510284 7.565380096),SVSO,medium_airport,Mayor Buenaventura Vivas International Airport,7.565380096,-72.03510284,1083,South America,VE,VE-S,Santo Domingo,yes,SVSO,STD,,3076
POINT (-64.1510849 8.945146561),SVST,medium_airport,San Tomé Airport,8.945146561,-64.1510849,861,South America,VE,VE-B,El Tigre,yes,SVST,SOM,,3077
POINT (-67.92839813 10.14973259),SVVA,medium_airport,Arturo Michelena International Airport,10.14973259,-67.92839813,1411,South America,VE,VE-G,Valencia,yes,SVVA,VLN,,3078
POINT (-71.67266846 8.624138832),SVVG,medium_airport,Juan Pablo Pérez Alfonso Airport,8.624138832,-71.67266846,250,South America,VE,VE-L,El Vigía,yes,SVVG,VIG,,3079
POINT (-70.58406067 9.340477943),SVVL,medium_airport,Dr. Antonio Nicolás Briceño Airport,9.340477943,-70.58406067,2060,South America,VE,VE-T,Valera,yes,SVVL,VLV,,3080
POINT (14.24699974 -6.269899845),FNBC,medium_airport,Mbanza Congo Airport,-6.269899845,14.24699974,1860,Africa,AO,AO-ZAI,Mbanza Congo,yes,FNBC,SSY,,1
POINT (12.18840027 -5.596990108),FNCA,medium_airport,Cabinda Airport,-5.596990108,12.18840027,66,Africa,AO,AO-CAB,Cabinda,yes,FNCA,CAB,,2
POINT (20.81850052 -7.400889874),FNDU,medium_airport,Dundo Airport,-7.400889874,20.81850052,2451,Africa,AO,AO-LNO,Chitato,yes,FNDU,DUE,,3
POINT (15.68379974 -17.0435009),FNGI,medium_airport,Ngjiva Pereira Airport,-17.0435009,15.68379974,3566,Africa,AO,AO-CNN,Ngiva,yes,FNGI,VPE,,4
POINT (15.76049995 -12.80889988),FNHU,medium_airport,Nova Lisboa Airport,-12.80889988,15.76049995,5587,Africa,AO,AO-HUA,Huambo,yes,FNHU,NOV,,5
POINT (13.23120022 -8.858369827),FNLU,medium_airport,Quatro de Fevereiro Airport,-8.858369827,13.23120022,243,Africa,AO,AO-LUA,Luanda,yes,FNLU,LAD,,6
POINT (16.31240082 -9.525090218),FNMA,medium_airport,Malanje Airport,-9.525090218,16.31240082,3868,Africa,AO,AO-MAL,Malanje,yes,FNMA,MEG,,7
POINT (17.71980095 -14.6576004),FNME,medium_airport,Menongue Airport,-14.6576004,17.71980095,4469,Africa,AO,AO-CCU,Menongue,yes,FNME,SPP,,8
POINT (12.14680004 -15.26119995),FNMO,medium_airport,Namibe Airport,-15.26119995,12.14680004,210,Africa,AO,AO-NAM,Namibe,yes,FNMO,MSZ,,9
POINT (15.2876997 -7.754509926),FNNG,medium_airport,Negage Airport,-7.754509926,15.2876997,4105,Africa,AO,AO-UIG,Negage,yes,FNNG,GXG,,10
POINT (12.37180042 -6.141089916),FNSO,medium_airport,Soyo Airport,-6.141089916,12.37180042,15,Africa,AO,AO-ZAI,Soyo,yes,FNSO,SZA,,11
POINT (13.57499981 -14.92469978),FNUB,medium_airport,Lubango Airport,-14.92469978,13.57499981,5778,Africa,AO,AO-HUI,Lubango,yes,FNUB,SDD,,12
POINT (13.4869 -12.4792),FNCT,medium_airport,Catumbela Airport,-12.4792,13.4869,23,Africa,AO,AO-BGU,Catumbela,yes,FNCT,CBT,,13
POINT (-1.512420058 12.35319996),DFFD,medium_airport,Ouagadougou Airport,12.35319996,-1.512420058,1037,Africa,BF,BF-KAD,Ouagadougou,yes,DFFD,OUA,,14
POINT (-4.33096981 11.16009998),DFOO,medium_airport,Bobo Dioulasso Airport,11.16009998,-4.33096981,1511,Africa,BF,BF-HOU,Bobo Dioulasso,yes,DFOO,BOY,,15
POINT (29.31850052 -3.324019909),HBBA,medium_airport,Bujumbura International Airport,-3.324019909,29.31850052,2582,Africa,BI,BI-BJ,Bujumbura,yes,HBBA,BJM,,16
POINT (2.384350061 6.357230186),DBBB,medium_airport,Cadjehoun Airport,6.357230186,2.384350061,19,Africa,BJ,BJ-AQ,Cotonou,yes,DBBB,COO,,17
POINT (27.47450066 -21.1595993),FBFT,medium_airport,Francistown Airport,-21.1595993,27.47450066,3283,Africa,BW,BW-NE,Francistown,yes,FBFT,FRW,,18
POINT (24.69099998 -24.60230064),FBJW,medium_airport,Jwaneng Airport,-24.60230064,24.69099998,3900,Africa,BW,BW-SO,,yes,FBJW,JWA,,19
POINT (25.16239929 -17.83289909),FBKE,medium_airport,Kasane Airport,-17.83289909,25.16239929,3289,Africa,BW,BW-NW,Kasane,yes,FBKE,BBK,,20
POINT (23.43110085 -19.97260094),FBMN,medium_airport,Maun Airport,-19.97260094,23.43110085,3093,Africa,BW,BW-NW,Maun,yes,FBMN,MUB,,21
POINT (25.91819954 -24.55520058),FBSK,medium_airport,Sir Seretse Khama International Airport,-24.55520058,25.91819954,3299,Africa,BW,BW-SE,Gaborone,yes,FBSK,GBE,,22
POINT (27.8288 -22.0583),FBSP,medium_airport,Selebi Phikwe Airport,-22.0583,27.8288,2925,Africa,BW,BW-CE,,yes,FBSP,PKW,,23
POINT (23.56900024 -6.121240139),FZWA,medium_airport,Mbuji Mayi Airport,-6.121240139,23.56900024,2221,Africa,CD,CD-KE,Mbuji Mayi,yes,FZWA,MJM,,24
POINT (18.78560066 -5.035769939),FZCA,medium_airport,Kikwit Airport,-5.035769939,18.78560066,1572,Africa,CD,CD-BN,,yes,FZCA,KKW,,25
POINT (15.44460011 -4.385749817),FZAA,medium_airport,Ndjili International Airport,-4.385749817,15.44460011,1027,Africa,CD,CD-KN,Kinshasa,yes,FZAA,FIH,Restrictions,26
POINT (17.38170052 -3.311320066),FZBO,medium_airport,Bandundu Airport,-3.311320066,17.38170052,1063,Africa,CD,CD-BN,,yes,FZBO,FDU,,27
POINT (18.2887001 0.022600001),FZEA,medium_airport,Mbandaka Airport,0.022600001,18.2887001,1040,Africa,CD,CD-EQ,Mbandaka,yes,FZEA,MDK,,28
POINT (20.97529984 4.253210068),FZFD,medium_airport,Gbadolite Airport,4.253210068,20.97529984,1509,Africa,CD,CD-EQ,,yes,FZFD,BDT,,29
POINT (19.77129936 3.235369921),FZFK,medium_airport,Gemena Airport,3.235369921,19.77129936,1378,Africa,CD,CD-EQ,Gemena,yes,FZFK,GMA,,30
POINT (25.33799934 0.481638998),FZIC,medium_airport,Bangoka International Airport,0.481638998,25.33799934,1417,Africa,CD,CD-OR,Kisangani,yes,FZIC,FKI,Restrictions,31
POINT (27.5883007 2.827610016),FZJH,medium_airport,Matari Airport,2.827610016,27.5883007,2438,Africa,CD,CD-OR,,yes,FZJH,IRP,,32
POINT (30.2208004 1.565719962),FZKA,medium_airport,Bunia Airport,1.565719962,30.2208004,4045,Africa,CD,CD-OR,,yes,FZKA,BUX,,33
POINT (29.2385006 -1.670809984),FZNA,medium_airport,Goma International Airport,-1.670809984,29.2385006,5089,Africa,CD,CD-NK,Goma,yes,FZNA,GOM,Restrictions,34
POINT (25.91539955 -2.919179916),FZOA,medium_airport,Kindu Airport,-2.919179916,25.91539955,1630,Africa,CD,CD-MA,Kindu,yes,FZOA,KND,,35
POINT (27.53089905 -11.59130001),FZQA,medium_airport,Lubumbashi International Airport,-11.59130001,27.53089905,4295,Africa,CD,CD-KA,Lubumbashi,yes,FZQA,FBM,Restrictions,36
POINT (25.50569916 -10.76589966),FZQM,medium_airport,Kolwezi Airport,-10.76589966,25.50569916,5007,Africa,CD,CD-KA,,yes,FZQM,KWZ,,37
POINT (29.25 -5.875559807),FZRF,medium_airport,Kalemie Airport,-5.875559807,29.25,2569,Africa,CD,CD-KA,,yes,FZRF,FMI,,38
POINT (22.46920013 -5.900050163),FZUA,medium_airport,Kananga Airport,-5.900050163,22.46920013,2139,Africa,CD,CD-KW,Kananga,yes,FZUA,KGA,,39
POINT (18.51880074 4.398479939),FEFF,medium_airport,Bangui M'Poko International Airport,4.398479939,18.51880074,1208,Africa,CF,CF-MP,Bangui,yes,FEFF,BGF,,40
POINT (15.25300026 -4.251699924),FCBB,medium_airport,Maya-Maya Airport,-4.251699924,15.25300026,1048,Africa,CG,CG-12,Brazzaville,yes,FCBB,BZV,,41
POINT (11.88659954 -4.816030025),FCPP,medium_airport,Pointe Noire Airport,-4.816030025,11.88659954,55,Africa,CG,CG-5,Pointe Noire,yes,FCPP,PNR,,42
POINT (12.6599 -4.20635),FCPL,medium_airport,Ngot Nzoungou Airport,-4.20635,12.6599,1079,Africa,CG,CG-9,Dolisie,yes,FCPD,DIS,,43
POINT (-3.926290035 5.261390209),DIAP,medium_airport,Port Bouet Airport,5.261390209,-3.926290035,21,Africa,CI,CI-01,Abidjan,yes,DIAP,ABJ,,44
POINT (-5.07366991 7.738800049),DIBK,medium_airport,Bouaké Airport,7.738800049,-5.07366991,1230,Africa,CI,CI-04,,yes,DIBK,BYK,,45
POINT (9.719479561 4.006080151),FKKD,medium_airport,Douala International Airport,4.006080151,9.719479561,33,Africa,CM,CM-LT,Douala,yes,FKKD,DLA,,46
POINT (14.25739956 10.4513998),FKKL,medium_airport,Salak Airport,10.4513998,14.25739956,1390,Africa,CM,CM-EN,Maroua,yes,FKKL,MVR,,47
POINT (13.55920029 7.357009888),FKKN,medium_airport,N'Gaoundéré Airport,7.357009888,13.55920029,3655,Africa,CM,CM-AD,N'Gaoundéré,yes,FKKN,NGE,,48
POINT (13.37010002 9.335889816),FKKR,medium_airport,Garoua International Airport,9.335889816,13.37010002,794,Africa,CM,CM-NO,Garoua,yes,FKKR,GOU,,49
POINT (11.5532999 3.722559929),FKYS,medium_airport,Yaoundé Nsimalen International Airport,3.722559929,11.5532999,2278,Africa,CM,CM-CE,Yaoundé,yes,FKYS,NSI,,50
POINT (11.52350044 3.83604002),FKKY,medium_airport,Yaoundé Airport,3.83604002,11.52350044,2464,Africa,CM,CM-CE,Yaoundé,yes,FKKY,YAO,,51
POINT (-22.94939995 16.74139977),GVAC,medium_airport,Amílcar Cabral International Airport,16.74139977,-22.94939995,177,Africa,CV,CV-B,Espargos,yes,GVAC,SID,,52
POINT (-23.49349976 14.92450047),GVNP,medium_airport,Praia International Airport,14.92450047,-23.49349976,230,Africa,CV,CV-S,Praia,yes,GVNP,RAI,,53
POINT (-22.88890076 16.1364994),GVBA,medium_airport,Rabil Airport,16.1364994,-22.88890076,69,Africa,CV,CV-B,Rabil,yes,GVBA,BVC,,54
POINT (-23.21369934 15.1559),GVMA,medium_airport,Maio Airport,15.1559,-23.21369934,36,Africa,CV,CV-S,Vila do Maio,yes,GVMA,MMO,,55
POINT (-24.28470039 16.58839989),GVSN,medium_airport,Preguiça Airport,16.58839989,-24.28470039,669,Africa,CV,CV-B,Preguiça,yes,GVSN,SNE,,56
POINT (43.15950012 11.54730034),HDAM,medium_airport,Djibouti-Ambouli Airport,11.54730034,43.15950012,49,Africa,DJ,DJ-DJ,Djibouti City,yes,HDAM,JIB,,57
POINT (5.069920063 36.7120018),DAAE,medium_airport,Soummam Airport,36.7120018,5.069920063,20,Africa,DZ,DZ-06,Béjaïa,yes,DAAE,BJA,,58
POINT (3.215409994 36.69100189),DAAG,large_airport,Houari Boumediene Airport,36.69100189,3.215409994,82,Africa,DZ,DZ-35,Algiers,yes,DAAG,ALG,,59
POINT (9.45244 24.292801),DAAJ,medium_airport,Djanet Inedbirene Airport,24.292801,9.45244,3176,Africa,DZ,DZ-33,Djanet,yes,DAAJ,DJG,,60
POINT (8.622650146 26.7234993),DAAP,medium_airport,Illizi Takhamalt Airport,26.7234993,8.622650146,1778,Africa,DZ,DZ-33,Illizi,yes,DAAP,VVZ,,61
POINT (5.451079845 22.81150055),DAAT,medium_airport,Aguenar – Hadj Bey Akhamok Airport,22.81150055,5.451079845,4518,Africa,DZ,DZ-11,Tamanrasset,yes,DAAT,TMR,,62
POINT (5.87361002 36.79510117),DAAV,medium_airport,Jijel Ferhat Abbas Airport,36.79510117,5.87361002,36,Africa,DZ,DZ-18,Jijel,yes,DAAV,GJL,,63
POINT (7.809169769 36.82220078),DABB,medium_airport,Annaba Airport,36.82220078,7.809169769,16,Africa,DZ,DZ-36,Annabah,yes,DABB,AAE,,64
POINT (6.620389938 36.27600098),DABC,medium_airport,Mohamed Boudiaf International Airport,36.27600098,6.620389938,2265,Africa,DZ,DZ-25,Constantine,yes,DABC,CZL,,65
POINT (8.12071991 35.43159866),DABS,medium_airport,Cheikh Larbi Tébessi Airport,35.43159866,8.12071991,2661,Africa,DZ,DZ-12,Tébessi,yes,DABS,TEE,,66
POINT (6.308589935 35.7521019),DABT,medium_airport,Batna Airport,35.7521019,6.308589935,2697,Africa,DZ,DZ-05,Batna,yes,DABT,BLJ,,67
POINT (-1.450000048 35.01670074),DAON,medium_airport,Zenata – Messali El Hadj Airport,35.01670074,-1.450000048,814,Africa,DZ,DZ-13,Tlemcen,yes,DAON,TLM,,68
POINT (-0.621182978 35.62390137),DAOO,medium_airport,Es Senia Airport,35.62390137,-0.621182978,295,Africa,DZ,DZ-31,Oran,yes,DAOO,ORN,,69
POINT (-0.186414003 27.83760071),DAUA,medium_airport,Touat Cheikh Sidi Mohamed Belkebir Airport,27.83760071,-0.186414003,919,Africa,DZ,DZ-01,,yes,DAUA,AZR,,70
POINT (2.859590054 30.57130051),DAUE,medium_airport,El Golea Airport,30.57130051,2.859590054,1306,Africa,DZ,DZ-47,,yes,DAUE,ELG,,71
POINT (3.79411006 32.38410187),DAUG,medium_airport,Noumérat - Moufdi Zakaria Airport,32.38410187,3.79411006,1512,Africa,DZ,DZ-47,Ghardaïa,yes,DAUG,GHA,,72
POINT (6.140439987 31.67300034),DAUH,medium_airport,Oued Irara Airport,31.67300034,6.140439987,463,Africa,DZ,DZ-30,Hassi Messaoud,yes,DAUH,HME,,73
